2022.07.15 11:20:48 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2022.07.15 11:20:48 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2022.07.15 11:20:48 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2022.07.15 11:20:48 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2022.07.15 11:20:48 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2022.07.15 11:20:49 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2022.07.15 11:20:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2022.07.15 11:20:50 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.07.15 11:20:50 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@4fe39d53 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@6f8835d8 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@24e09840 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@17034bad [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@53c6a1f7 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@25202e81 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@2bb88af3 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@1f04123e [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@5bc979d5 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@5b5fef72 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@2927eea9 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.07.15 11:20:50 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2022.07.15 11:20:50 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.07.15 11:20:50 INFO  web[][o.s.s.p.Platform] WebServer is operational
2022.07.15 11:47:16 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2022.07.15 11:47:16 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2022.07.15 11:47:17 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2022.07.15 11:47:17 INFO  web[][o.s.s.app.WebServer] WebServer stopped
